,X [mm],Y [mm],Z [mm],U [mm],V [mm],W [mm],R [mm],Z [mm] (cylinder),dR [mm],dZ [mm] (cylinder),Theta [rad],dTheta [rad]
150,0.536524,42.5985,80.8926,-0.031611,0.00263304,-0.000399399,86.3098,42.5985,-0.000630489,0.00263304,0.00664323,-0.00040457800000000006
151,0.536524,42.5985,80.8926,-0.02325,0.0014876,0.00226141,86.3098,42.5985,0.00224246,0.0014876,0.00664323,-0.000302911
152,0.536524,42.5985,80.8926,-0.0156902,0.00228328,0.000842722,86.3098,42.5985,0.0009198289999999999,0.00228328,0.00664323,-0.00020459799999999998
153,0.536524,42.5985,80.8926,-0.0174818,0.00107153,0.00131149,86.3098,42.5985,0.00142389,0.00107153,0.00664323,-0.000220635
154,0.536524,42.5985,80.8926,-0.00482342,0.0019422,0.00169402,86.3098,42.5985,0.00168017,0.0019422,0.00664323,-7.17957e-05
155,0.536524,42.5985,80.8926,0.00749323,-0.000561206,-0.00662323,86.3098,42.5985,-0.00621909,-0.000561206,0.00664323,7.19646e-05
156,0.536524,42.5985,80.8926,0.00965173,-0.000449285,-0.00423564,86.3098,42.5985,-0.00376989,-0.000449285,0.00664323,0.00012416399999999999
157,0.536524,42.5985,80.8926,0.00678842,0.0011438,-0.000988839,86.3098,42.5985,-0.0008812239999999999,0.0011438,0.00664323,9.3816e-05
158,0.536524,42.5985,80.8926,0.0188859,-0.00150399,-0.00490224,86.3098,42.5985,-0.00444192,-0.00150399,0.00664323,0.000247794
159,0.536524,42.5985,80.8926,0.0211903,0.00104109,0.00526333,86.3098,42.5985,0.00489635,0.00104109,0.00664323,0.000264364
160,0.536524,42.5985,80.8926,0.026627099999999997,0.00194676,0.00156942,86.3098,42.5985,0.00141068,0.00194676,0.00664323,0.000328369
161,0.536524,42.5985,80.8926,0.037082199999999996,-0.000449768,-0.00285346,86.3098,42.5985,-0.0025375999999999997,-0.000449768,0.00664323,0.000471719
162,0.536524,42.5985,80.8926,0.040104,-0.00112399,0.00329767,86.3098,42.5985,0.00320439,-0.00112399,0.00664323,0.000511362
163,0.536524,42.5985,80.8926,0.0447546,-0.000553682,0.00522315,86.3098,42.5985,0.00511078,-0.000553682,0.00664323,0.000565132
164,0.536524,42.5985,80.8926,0.049022500000000004,-0.000518156,0.00580787,86.3098,42.5985,0.00561167,-0.000518156,0.00664323,0.000628795
165,0.536524,42.5985,80.8926,0.0549309,-0.000408257,0.00283599,86.3098,42.5985,0.00285466,-0.000408257,0.00664323,0.0007014110000000001
166,0.536524,42.5985,80.8926,0.054787300000000004,-0.0018779,0.000621889,86.3098,42.5985,0.00100411,-0.0018779,0.00664323,0.000701893
167,0.536524,42.5985,80.8926,0.0592477,-0.000586356,0.0051573999999999995,86.3098,42.5985,0.00540749,-0.000586356,0.00664323,0.0007554860000000001
168,0.536524,42.5985,80.8926,0.06460199999999999,-0.00442695,0.00234682,86.3098,42.5985,0.00275377,-0.00442695,0.00664323,0.000825922
169,0.536524,42.5985,80.8926,0.058084000000000004,0.00149154,0.00632269,86.3098,42.5985,0.00638782,0.00149154,0.00664323,0.000749434
170,0.536524,42.5985,80.8926,0.06409780000000001,-0.0018902,0.00178827,86.3098,42.5985,0.00225075,-0.0018902,0.00664323,0.0008148119999999999
171,0.536524,42.5985,80.8926,0.0588288,-0.0007267689999999999,-0.0007269039999999999,86.3098,42.5985,-6.0927399999999995e-05,-0.0007267689999999999,0.00664323,0.0007482680000000001
172,0.536524,42.5985,80.8926,0.0506538,-0.00124729,0.00031209200000000003,86.3098,42.5985,0.0005675669999999999,-0.00124729,0.00664323,0.000649657
173,0.536524,42.5985,80.8926,0.0487952,0.000959998,-0.00986621,86.3098,42.5985,-0.00884271,0.000959998,0.00664323,0.000624099
174,0.536524,42.5985,80.8926,0.0440088,0.000902331,-0.00752434,86.3098,42.5985,-0.00659578,0.000902331,0.00664323,0.0005697640000000001
175,0.536524,42.5985,80.8926,0.034362800000000006,0.00124515,-0.00328193,86.3098,42.5985,-0.00284111,0.00124515,0.00664323,0.00044244099999999996
176,0.536524,42.5985,80.8926,0.0295767,0.00108692,-0.00572568,86.3098,42.5985,-0.00497693,0.00108692,0.00664323,0.000365559
177,0.536524,42.5985,80.8926,0.0234966,0.00281462,-0.0123763,86.3098,42.5985,-0.0114989,0.00281462,0.00664323,0.000286653
178,0.536524,42.5985,80.8926,0.0178093,0.0020598,0.00240337,86.3098,42.5985,0.00226053,0.0020598,0.00664323,0.000221432
179,0.536524,42.5985,80.8926,0.0138237,0.000268347,0.00036283,86.3098,42.5985,0.000344911,0.000268347,0.00664323,0.00016235299999999998
180,0.536524,42.5985,80.8926,-0.00142029,0.00274329,0.00504209,86.3098,42.5985,0.00478883,0.00274329,0.00664323,-1.37224e-05
181,0.536524,42.5985,80.8926,0.000643205,-0.00042197400000000004,0.00127619,86.3098,42.5985,0.00124178,-0.00042197400000000004,0.00664323,-2.97916e-06
182,0.536524,42.5985,80.8926,-0.00624577,0.000273622,0.00471862,86.3098,42.5985,0.00459771,0.000273622,0.00664323,-8.90481e-05
183,0.536524,42.5985,80.8926,-0.0166201,0.00389085,0.011217399999999999,86.3098,42.5985,0.0105877,0.00389085,0.00664323,-0.00020807
184,0.536524,42.5985,80.8926,-0.0164715,0.00132762,0.00694536,86.3098,42.5985,0.00616124,0.00132762,0.00664323,-0.00020720799999999999
185,0.536524,42.5985,80.8926,-0.024943,0.00289208,0.00699098,86.3098,42.5985,0.00644644,0.00289208,0.00664323,-0.000317283
186,0.536524,42.5985,80.8926,-0.0322795,0.00226576,0.00451609,86.3098,42.5985,0.00417599,0.00226576,0.00664323,-0.000406028
187,0.536524,42.5985,80.8926,-0.0393079,0.00262571,0.00293329,86.3098,42.5985,0.00251546,0.00262571,0.00664323,-0.0004928430000000001
