,Amplitude,phi,Quality (%),value
Ezz_bas,172.65075846670067,-67.4462947933766,4.2387907239550495,
Delta_uz,0.0029818796534099076,-86.81468951186679,6.027920566947023,
Ezz_haut,227.4488829329081,-73.42564272693781,4.211997477005854,
Charge,1373.2512866564223,-44.945239019955366,4.970708244710618,
time,156.64085714285713,156.64085714285713,156.64085714285713,156.64085714285713
P,1.6028336885315042,,,
G0,,14.001055773421228,,9283.675917593171
K1,,33.36945049191142,,537.5246069030972
G2,,19.980403706982443,,7047.006201407906
