,Amplitude,phi,Quality (%),value
Ezz_bas,173.06148396613207,-73.53814678533249,4.295513522714087,
Delta_uz,0.0025136041128881394,-87.7608609381626,5.076245700950918,
Ezz_haut,220.68217598260668,-77.85314839547479,3.9204851902916045,
Charge,1392.0561629300785,-52.65454810918113,6.285658805704377,
time,131.63817142857138,131.63817142857138,131.63817142857138,131.63817142857138
P,1.6247823948556541,,,
G0,,12.383598676151358,,9388.469101383773
K1,,26.606312828981466,,646.3955029850639
G2,,16.69860028629366,,7362.544743911322
