,L0,L1,L2,F,time,P,G_L0,K_L1,G_L2
x0,0.04468079786743746,0.0,1.4969270775984822e-12,11.581705366225194,156.64087142857142,0.01351795386030926,,,
phi,-50.71371428578812,,-43.579734453600956,-50.71371428570799,156.64087142857142,,,,
Quality,230.84648103388355,,2995.9317882796813,7626.37009279744,156.64087142857142,,,,
G0,,,,,156.64087142857142,,302545.041841361,,
phi_G0,,,,,156.64087142857142,,-8.499999999919865,,
K1,,,,,156.64087142857142,,,0.0,
phi_K1,,,,,156.64087142857142,,,,
G2,,,,,156.64087142857142,,,,9030469194261682.0
phi_G2,,,,,156.64087142857142,,,,164.36602016789297
