,F,G_L0,G_L2,K_L1,L0,L1,L2,P,time
140-209,"{'Amplitude': 1373.2512866564223, 'phi': -44.945239019955366, 'Quality (%)': 4.970708244710618}","{'G0': 9283.675917593171, 'phi_G0': 14.001055773421228}","{'G2': 7047.006201407906, 'phi_G2': 19.980403706982443}","{'K1': 537524606.9030972, 'phi_K1': 33.36945049191142}","{'Amplitude': 172.65075846670067, 'phi': -67.4462947933766, 'Quality (%)': 4.2387907239550495}","{'Amplitude': 0.0029818796534099076, 'phi': -86.81468951186679, 'Quality (%)': 6.027920566947023}","{'Amplitude': 227.4488829329081, 'phi': -73.42564272693781, 'Quality (%)': 4.211997477005854}",{'Amplitude': 1.6028336885315042},156.64085714285713
0-69,"{'Amplitude': 1392.0561629300785, 'phi': -52.65454810918113, 'Quality (%)': 6.285658805704378}","{'G0': 9388.469101383773, 'phi_G0': 12.383598676151344}","{'G2': 7362.544743911322, 'phi_G2': 16.69860028629366}","{'K1': 646395502.9850639, 'phi_K1': 26.606312828981466}","{'Amplitude': 173.06148396613207, 'phi': -73.53814678533247, 'Quality (%)': 4.295513522714085}","{'Amplitude': 0.0025136041128881394, 'phi': -87.7608609381626, 'Quality (%)': 5.076245700950917}","{'Amplitude': 220.68217598260668, 'phi': -77.85314839547479, 'Quality (%)': 3.9204851902916094}",{'Amplitude': 1.6247823948556541},131.63817142857138
70-139,"{'Amplitude': 1386.26783897314, 'phi': -46.84894673405337, 'Quality (%)': 5.228115924630884}","{'G0': 9417.625997213381, 'phi_G0': 12.971439940031502}","{'G2': 7190.889777067041, 'phi_G2': 18.337064381805817}","{'K1': 574976466.187054, 'phi_K1': 30.833419921283664}","{'Amplitude': 171.80830603031228, 'phi': -68.32038667408487, 'Quality (%)': 4.451703124812397}","{'Amplitude': 0.002814074078784779, 'phi': -86.18236665533703, 'Quality (%)': 6.597404814590764}","{'Amplitude': 225.01059250948617, 'phi': -73.68601111585919, 'Quality (%)': 4.803959936392062}",{'Amplitude': 1.6180263694082617},144.09770000000006
