,X [mm],Y [mm],Z [mm],U [mm],V [mm],W [mm],R [mm],Z [mm] (cylinder),dR [mm],dZ [mm] (cylinder),Theta [rad],dTheta [rad]
0,-3.73128e-07,4.57719e-06,80.9059,0.0,0.0,0.0,86.3261,4.57719e-06,0.0,0.0,9.155540000000001e-05,0.0
1,-3.73128e-07,4.57719e-06,80.9059,-0.000713275,-0.00014612,0.0006840660000000001,86.3261,4.57719e-06,0.000642894,-0.00014612,9.155540000000001e-05,-7.81285e-06
2,-3.73128e-07,4.57719e-06,80.9059,0.00332368,-0.000555267,0.00114407,86.3261,4.57719e-06,0.00100109,-0.000555267,9.155540000000001e-05,3.78556e-05
3,-3.73128e-07,4.57719e-06,80.9059,0.00240249,-0.00105874,0.00117565,86.3261,4.57719e-06,0.0010332000000000002,-0.00105874,9.155540000000001e-05,2.58812e-05
4,-3.73128e-07,4.57719e-06,80.9059,0.0009595630000000001,-0.00112907,-0.00043415,86.3261,4.57719e-06,-0.00037778599999999996,-0.00112907,9.155540000000001e-05,6.213200000000001e-06
5,-3.73128e-07,4.57719e-06,80.9059,0.00152517,0.00046521199999999995,0.000524992,86.3261,4.57719e-06,0.000536965,0.00046521199999999995,9.155540000000001e-05,1.17371e-05
6,-3.73128e-07,4.57719e-06,80.9059,0.00382161,-0.00133553,0.000333235,86.3261,4.57719e-06,0.000290955,-0.00133553,9.155540000000001e-05,4.54957e-05
7,-3.73128e-07,4.57719e-06,80.9059,0.00374825,-0.000455369,0.00251881,86.3261,4.57719e-06,0.00232892,-0.000455369,9.155540000000001e-05,5.1455799999999996e-05
8,-3.73128e-07,4.57719e-06,80.9059,0.011842499999999999,7.578689999999999e-05,0.0006653680000000001,86.3261,4.57719e-06,0.000522084,7.578689999999999e-05,9.155540000000001e-05,0.00014758299999999999
9,-3.73128e-07,4.57719e-06,80.9059,0.013021600000000001,-0.0029651,-0.00340978,86.3261,4.57719e-06,-0.00319996,-0.0029651,9.155540000000001e-05,0.000164439
10,-3.73128e-07,4.57719e-06,80.9059,0.014765700000000001,-0.00046116,-0.000506672,86.3261,4.57719e-06,-0.00048462300000000005,-0.00046116,9.155540000000001e-05,0.00018763599999999998
11,-3.73128e-07,4.57719e-06,80.9059,0.0209676,-0.00110269,-0.0007442999999999999,86.3261,4.57719e-06,-0.0007528210000000001,-0.00110269,9.155540000000001e-05,0.000262717
12,-3.73128e-07,4.57719e-06,80.9059,0.0219499,-0.00096211,0.00160575,86.3261,4.57719e-06,0.00144033,-0.00096211,9.155540000000001e-05,0.000277602
13,-3.73128e-07,4.57719e-06,80.9059,0.024758099999999998,-0.0013380999999999998,0.00413734,86.3261,4.57719e-06,0.00387133,-0.0013380999999999998,9.155540000000001e-05,0.00031528
14,-3.73128e-07,4.57719e-06,80.9059,0.027603500000000003,-0.00228212,-0.00089746,86.3261,4.57719e-06,-0.000710609,-0.00228212,9.155540000000001e-05,0.000350001
15,-3.73128e-07,4.57719e-06,80.9059,0.0283622,-0.00169444,0.000576213,86.3261,4.57719e-06,0.000635369,-0.00169444,9.155540000000001e-05,0.000364619
16,-3.73128e-07,4.57719e-06,80.9059,0.033038099999999994,-0.000253209,0.000977093,86.3261,4.57719e-06,0.00107634,-0.000253209,9.155540000000001e-05,0.000417102
17,-3.73128e-07,4.57719e-06,80.9059,0.034606300000000007,-0.00113383,0.0006506109999999999,86.3261,4.57719e-06,0.000688716,-0.00113383,9.155540000000001e-05,0.00043867099999999996
18,-3.73128e-07,4.57719e-06,80.9059,0.03327569999999999,-0.00185725,-0.000845466,86.3261,4.57719e-06,-0.0008405760000000001,-0.00185725,9.155540000000001e-05,0.000430443
19,-3.73128e-07,4.57719e-06,80.9059,0.0327411,0.000115608,0.00152319,86.3261,4.57719e-06,0.00150302,0.000115608,9.155540000000001e-05,0.00041857300000000005
20,-3.73128e-07,4.57719e-06,80.9059,0.034819800000000005,-0.00159987,-0.0002641,86.3261,4.57719e-06,-0.000148046,-0.00159987,9.155540000000001e-05,0.000440749
21,-3.73128e-07,4.57719e-06,80.9059,0.0296889,-0.000268553,0.00268812,86.3261,4.57719e-06,0.00257222,-0.000268553,9.155540000000001e-05,0.00037304300000000004
