,Image,Ezz_bas_x,Ezz_bas_signal_1,Ezz_bas_signal_2,Ezz_bas_quality_1,Ezz_bas_quality_2,Delta_uz_x,Delta_uz_signal_1,Delta_uz_signal_2,Delta_uz_quality_1,Delta_uz_quality_2,Ezz_haut_x,Ezz_haut_signal_1,Ezz_haut_signal_2,Ezz_haut_quality_1,Ezz_haut_quality_2,Charge_x,Charge_signal_1,Charge_signal_2,Charge_quality_1,Charge_quality_2
0,30,-155.91491897996528,-3.8257203139668223,-16.60606407437834,8.654112974382334,7.926891450933212,-0.0024545652807491753,-7.261167509707811e-05,-0.00023770295767174703,9.702580550560869,9.03010252094047,-197.5597408461486,-5.580587733433326,-20.78954055416053,8.840822162424677,8.140435453843814,-899.9554666666667,-1.164911129474234,-109.77117258562338,7.006582379577976,6.159934945264784
1,31,-108.14389418455683,-9.316387406679224,-13.744809992452414,5.623439508748587,5.371455346219395,-0.0019984057643938164,-0.00014652258499773006,-0.00020372714679774747,7.543407090584479,7.310391692044734,-145.59081407214217,-12.2469091777182,-17.516851163621286,6.140613345255935,5.897927516361222,-411.07546666666667,-43.790173863119875,-81.42252790656951,2.8631972654601165,2.569831712030063
2,32,-163.7806874435257,-0.874843231455307,-17.3388951612411,9.269597002049075,8.33276672964185,-0.0025725719514357826,-3.1975691457800066e-05,-0.0002446516178975728,10.34879092539741,9.482482991208181,-213.01998681429012,-1.9573796728547403,-21.550044293798557,9.719633327997775,8.817372531482565,-1105.6154666666666,20.508539585228185,-119.40155689063971,8.778775623324606,7.68809703235191
3,33,-133.79873770428793,-6.666757868569023,-15.396459441977473,7.23400823862172,6.7372745829015015,-0.0023235516647579944,-0.00011116291875047392,-0.00022392965306261109,9.011879982194573,8.552539245880075,-174.27903048670927,-9.043572601569618,-19.432152271880618,7.609249621138049,7.130845669999268,-663.4754666666666,-22.80491630240421,-96.9891690337428,4.99439047466828,4.416082130385675
4,34,-51.25769251513442,-13.67572948954378,-9.409832428326217,2.1384724009018825,2.381208607211554,-0.00147060909516166,-0.00020286244966909932,-0.00014775732649162688,5.164002319947568,5.388465926253466,-78.03582442233892,-17.435869231925842,-12.359336991603092,2.7906854374693144,3.0244645640610353,5.184533333333327,-80.79810854288849,-44.54688242088511,0.6702834824064522,0.38768460481509204
5,35,-8.876198608722188,-16.56959237013282,-3.933417974700644,0.4377661224573247,0.2812519389253287,-0.0007614349476178148,-0.00023731268120895485,-7.408371985338665e-05,2.134944398626226,2.799836503148646,-24.079269567064934,-20.749721464715435,-5.71233406595732,0.15332884939245447,0.8458148074998567,533.2445333333334,-109.35196680371303,-1.970844204580807,5.009404345985469,4.172307564241139
6,36,-81.8617165239189,-11.69853591884444,-11.698535918845078,3.9923945745270957,3.9923945745270593,-0.0017598827282428754,-0.0001776754691900486,-0.0001776754691900568,6.444917038776442,6.444917038776408,-116.47198056384036,-15.098627075025579,-15.098627075026336,4.668339117409439,4.6683391174094035,-159.8354666666667,-63.518180075220315,-63.51818007522571,0.7508479021311483,0.7508479021311063
7,37,34.51657176411772,-17.320543645198494,-0.985110355010877,2.949612838736123,2.020101167830235,-0.00020407196846279857,-0.0002445188959423032,-3.3504412776070983e-05,0.16475533820699714,0.6947849212662074,29.965542443415494,-21.532829566042487,-2.0932245856049123,2.371548895846504,1.476336641008972,763.6645333333333,-119.10459356786241,19.712512777051177,6.881686252348928,5.799528139640516
8,38,59.054546744185686,-17.57391252868615,2.1011513085907954,4.3602790297858585,3.2407371640948717,0.00018035299770686086,-0.0002445761320786528,9.578340173973692e-06,1.7308939604199258,0.6956285239038764,65.22882164261112,-21.691828812647323,1.7220263430222753,4.002778429103932,2.924548182684873,943.6245333333334,-125.6038258176394,41.59317352261303,8.335241769974594,7.031846287814073
9,39,-36.797521743298105,-15.396459441977061,-6.666757868569813,1.2177538743836687,1.7144875301038183,-0.0011346361429673422,-0.00022392965306260618,-0.00011116291875048454,3.7096453328276318,4.168986069142067,-56.865487804198864,-19.43215227188015,-9.043572601570574,1.7238406203057857,2.202244571444501,173.98453333333333,-96.9891690337387,-22.804916302410327,2.112393768089132,1.5340854238066064
