,X [mm],Y [mm],Z [mm],U [mm],V [mm],W [mm],R [mm],Z [mm] (cylinder),dR [mm],dZ [mm] (cylinder),Theta [rad],dTheta [rad]
150,-1.04227,-33.0767,80.9487,-0.00861919,-0.00108092,-0.0009223339999999999,86.3106,-33.0767,-0.000692557,-0.00108092,-0.012601399999999999,-0.00011044700000000001
151,-1.04227,-33.0767,80.9487,-0.00493004,0.00101867,0.00044006,86.3106,-33.0767,0.000586191,0.00101867,-0.012601399999999999,-6.41493e-05
152,-1.04227,-33.0767,80.9487,-0.000827425,0.00177049,-0.00209074,86.3106,-33.0767,-0.00188984,0.00177049,-0.012601399999999999,-2.1873000000000002e-05
153,-1.04227,-33.0767,80.9487,-0.00385466,-0.00102744,0.00207482,86.3106,-33.0767,0.00212005,-0.00102744,-0.012601399999999999,-4.88647e-05
154,-1.04227,-33.0767,80.9487,0.00342346,0.00154225,0.000397824,86.3106,-33.0767,0.00042862699999999995,0.00154225,-0.012601399999999999,3.46637e-05
155,-1.04227,-33.0767,80.9487,0.0124523,-0.00105469,-0.00689399,86.3106,-33.0767,-0.00667731,-0.00105469,-0.012601399999999999,0.000141807
156,-1.04227,-33.0767,80.9487,0.0114905,-0.00100598,-0.00184456,86.3106,-33.0767,-0.00197952,-0.00100598,-0.012601399999999999,0.00014371299999999998
157,-1.04227,-33.0767,80.9487,0.00600532,0.000751897,-0.00190474,86.3106,-33.0767,-0.0018413,0.000751897,-0.012601399999999999,7.892520000000001e-05
158,-1.04227,-33.0767,80.9487,0.013581200000000002,-0.00202556,-0.00257923,86.3106,-33.0767,-0.00264742,-0.00202556,-0.012601399999999999,0.00017643799999999998
159,-1.04227,-33.0767,80.9487,0.013012899999999999,0.000945285,0.0030441999999999995,86.3106,-33.0767,0.0025756999999999998,0.000945285,-0.012601399999999999,0.000164476
160,-1.04227,-33.0767,80.9487,0.0151101,0.000981445,0.00190053,86.3106,-33.0767,0.00138646,0.000981445,-0.012601399999999999,0.000190139
161,-1.04227,-33.0767,80.9487,0.0190696,-0.0005514130000000001,8.65909e-05,86.3106,-33.0767,-0.000266269,-0.0005514130000000001,-0.012601399999999999,0.00023904099999999998
162,-1.04227,-33.0767,80.9487,0.0190731,-0.0005040019999999999,0.00199152,86.3106,-33.0767,0.00147016,-0.0005040019999999999,-0.012601399999999999,0.000242521
163,-1.04227,-33.0767,80.9487,0.0201017,0.000304069,0.00232997,86.3106,-33.0767,0.00170136,0.000304069,-0.012601399999999999,0.000258915
164,-1.04227,-33.0767,80.9487,0.0206988,1.94632e-05,0.00112594,86.3106,-33.0767,0.000588506,1.94632e-05,-0.012601399999999999,0.00026628700000000003
165,-1.04227,-33.0767,80.9487,0.0221172,-0.0007219160000000001,-0.000746638,86.3106,-33.0767,-0.00112052,-0.0007219160000000001,-0.012601399999999999,0.000281496
166,-1.04227,-33.0767,80.9487,0.0210451,-0.0018245999999999998,-0.00141635,86.3106,-33.0767,-0.00183441,-0.0018245999999999998,-0.012601399999999999,0.00027156
167,-1.04227,-33.0767,80.9487,0.021830099999999998,-0.000105456,0.00175307,86.3106,-33.0767,0.00116035,-0.000105456,-0.012601399999999999,0.00028069099999999996
168,-1.04227,-33.0767,80.9487,0.024347099999999997,-0.00324401,-0.000611631,86.3106,-33.0767,-0.00117421,-0.00324401,-0.012601399999999999,0.00031088599999999996
169,-1.04227,-33.0767,80.9487,0.0193227,0.0016317,0.00201412,86.3106,-33.0767,0.00154082,0.0016317,-0.012601399999999999,0.000247943
170,-1.04227,-33.0767,80.9487,0.0227807,-0.00148404,-0.000977319,86.3106,-33.0767,-0.0012689,-0.00148404,-0.012601399999999999,0.000285949
171,-1.04227,-33.0767,80.9487,0.0198806,-0.00117068,-0.000683027,86.3106,-33.0767,-0.000890842,-0.00117068,-0.012601399999999999,0.000247669
172,-1.04227,-33.0767,80.9487,0.0157595,-6.3078800000000005e-06,-0.00266347,86.3106,-33.0767,-0.00257795,-6.3078800000000005e-06,-0.012601399999999999,0.000193848
173,-1.04227,-33.0767,80.9487,0.0153167,-0.000204085,-0.00186999,86.3106,-33.0767,-0.00182359,-0.000204085,-0.012601399999999999,0.000192388
174,-1.04227,-33.0767,80.9487,0.013746200000000002,-0.0002468,-0.00179722,86.3106,-33.0767,-0.00179014,-0.0002468,-0.012601399999999999,0.000167993
175,-1.04227,-33.0767,80.9487,0.009310899999999999,0.00041357599999999997,-0.00111767,86.3106,-33.0767,-0.00115531,0.00041357599999999997,-0.012601399999999999,0.00011424200000000001
176,-1.04227,-33.0767,80.9487,0.00790743,0.000445088,-0.00388648,86.3106,-33.0767,-0.00363133,0.000445088,-0.012601399999999999,8.699530000000001e-05
177,-1.04227,-33.0767,80.9487,0.00549159,0.00149104,-0.00967335,86.3106,-33.0767,-0.00897666,0.00149104,-0.012601399999999999,7.58687e-05
178,-1.04227,-33.0767,80.9487,0.00268417,0.00141198,0.00233316,86.3106,-33.0767,0.00221745,0.00141198,-0.012601399999999999,3.19891e-05
179,-1.04227,-33.0767,80.9487,0.00417025,-0.000627099,0.000901495,86.3106,-33.0767,0.0007518469999999999,-0.000627099,-0.012601399999999999,3.99424e-05
180,-1.04227,-33.0767,80.9487,-0.00685097,0.00191678,0.00492117,86.3106,-33.0767,0.00483106,0.00191678,-0.012601399999999999,-8.44549e-05
181,-1.04227,-33.0767,80.9487,-0.00325798,-0.00123571,0.000507816,86.3106,-33.0767,0.000598418,-0.00123571,-0.012601399999999999,-5.0743e-05
182,-1.04227,-33.0767,80.9487,-0.00632011,0.00017407299999999998,0.00312085,86.3106,-33.0767,0.0031903,0.00017407299999999998,-0.012601399999999999,-8.99909e-05
183,-1.04227,-33.0767,80.9487,-0.0126006,0.00332902,0.00801811,86.3106,-33.0767,0.00779959,0.00332902,-0.012601399999999999,-0.000161409
184,-1.04227,-33.0767,80.9487,-0.00869567,0.00114169,0.00474702,86.3106,-33.0767,0.00432917,0.00114169,-0.012601399999999999,-0.000115818
185,-1.04227,-33.0767,80.9487,-0.013408400000000001,0.00187865,0.0043024,86.3106,-33.0767,0.00413398,0.00187865,-0.012601399999999999,-0.00017240599999999998
186,-1.04227,-33.0767,80.9487,-0.016132900000000002,0.00013125299999999998,0.00239833,86.3106,-33.0767,0.00253198,0.00013125299999999998,-0.012601399999999999,-0.000207408
