,Image,Ezz_bas_x,Ezz_bas_signal_1,Ezz_bas_signal_2,Ezz_bas_quality_1,Ezz_bas_quality_2,Delta_uz_x,Delta_uz_signal_1,Delta_uz_signal_2,Delta_uz_quality_1,Delta_uz_quality_2,Ezz_haut_x,Ezz_haut_signal_1,Ezz_haut_signal_2,Ezz_haut_quality_1,Ezz_haut_quality_2,Charge_x,Charge_signal_1,Charge_signal_2,Charge_quality_1,Charge_quality_2
0,100,-168.14217871626866,0.437907884085011,-28.53829344240593,5.665745072727558,4.69189476096966,-0.002828006306484621,-0.00012962774472868486,-0.0006132472089289332,3.883901841663271,3.1878058400521225,-229.02151887356172,-1.904096291243845,-41.15558349747949,5.193063698229704,4.29557432469496,-1092.3228571428572,72.95319455360604,-121.53288341589348,9.138420603047472,7.61320640222793
1,101,-159.85613388038092,-4.775970153764391,-29.571332030876874,5.2120312145457,4.3786931719879965,-0.0028619367561843584,-0.0002470905375598341,-0.0006609308298240028,3.7636698527478907,3.16801026070261,-217.62747003143863,-9.52203963475201,-43.1101148461043,4.758352502022622,3.9903576379990895,-919.4028571428572,53.52264892873179,-112.90194996806389,7.629953843959172,6.324805607883907
2,102,-143.08443830355384,-9.665787488134267,-29.703018295734992,4.484017529659023,3.810593734425129,-0.002761353780096965,-0.00035317309898684934,-0.0006875990894071089,3.466206526757702,2.984851635156399,-199.0709656740902,-16.592103825965847,-43.73476134104516,4.172398323225533,3.5517786111294605,-712.2428571428571,33.21397579772029,-101.27440621035089,5.846080910106261,4.791385416086776
3,103,-126.37977889876727,-14.27809223730285,-28.98190685472971,3.767583655075119,3.273408649598459,-0.002755565859413977,-0.000449115774776785,-0.0006945258223829429,3.319780944893615,2.9665508424279405,-180.07672265581076,-23.18579528166288,-43.10374742576073,3.587327516597627,3.1319014508800076,-498.0628571428571,11.951702528174856,-86.73919224827509,3.999676774586278,3.225715184244399
4,104,-99.41736291714072,-18.333578204869728,-27.50061601796519,2.7251145907922893,2.4170230458865114,-0.0024830451282837735,-0.0005293471279550898,-0.0006823470973271802,2.812048453495215,2.591828477232139,-149.8259019591378,-28.908171677937418,-41.32594388297922,2.764796590486316,2.4808629260510586,-254.3028571428571,-8.85463410810376,-70.3831005478053,1.9248735911947248,1.442350154307903
5,105,-71.91230920762058,-22.02699337061846,-25.188012905129966,1.676576920232522,1.5703393970847757,-0.002091693651887176,-0.0005977199382062982,-0.0006504780812210404,2.150345892974263,2.074408642463219,-118.93737683207463,-34.034026529462565,-38.3159790331576,1.9413240133736063,1.8434167200816396,-13.682857142857133,-30.204172576647657,-51.420697293780634,0.1295647749130308,0.2959506937842256
6,106,-45.284310361393736,-25.0879957213983,-22.15224154700217,0.6787703842511226,0.7774370481718501,-0.0017987339535990592,-0.0006489317250566116,-0.0005999333127096113,1.654963857287146,1.7254895524769458,-83.4997292589084,-38.18273692191043,-34.20593140076666,1.0361777847884912,1.127107860306084,85.17714285714287,-50.6865247941508,-30.98196418499679,1.0654808685569632,0.9109521949585154
7,107,-26.718096745381356,-27.428701401214592,-18.48046139734779,0.023882446074363187,0.2768556051029436,-0.0014882760628642806,-0.0006815121566392038,-0.000532163973023123,1.1612128355837568,1.376176626660609,-60.81386251761549,-41.23519002068927,-29.11380378125156,0.44766840098524263,0.7248251692178957,264.87714285714287,-69.71362584382008,-9.653713798317057,2.6239543581410847,2.1529477354143944
8,108,-0.021357425076194092,-28.98190685472882,-14.278092237306316,0.9733242730116917,0.4791492675351775,-0.0010701063875302086,-0.0006945258223829405,-0.0004491157747768554,0.5405905862664295,0.8938206887319987,-26.69936674928501,-43.10374742575974,-23.185795281667808,0.37508788543981175,0.08033818027767235,659.4571428571428,-86.73919224826268,11.951702528158009,5.851880292844132,5.077918702502482
9,109,42.389426970477324,-29.70301829573496,-9.665787488134805,2.422928026583814,1.7495042313499396,-0.0004228588419679776,-0.0006875990894071108,-0.00035317309898686073,0.38105295867831634,0.10030193292297335,26.542048248679933,-43.734761341045164,-16.592103825966618,1.606886625245701,0.9862669131496464,912.8971428571429,-101.27440621034941,33.213975797717936,7.953416845330565,6.89872135131111
