,X [mm],Y [mm],Z [mm],U [mm],V [mm],W [mm],R [mm],Z [mm] (cylinder),dR [mm],dZ [mm] (cylinder),Theta [rad],dTheta [rad]
150,0.12248800000000001,13.4609,80.9709,-0.0208503,0.00222307,0.00013685,86.3767,13.4609,-6.90851e-05,0.00222307,0.00167893,-0.00026879599999999997
151,0.12248800000000001,13.4609,80.9709,-0.014920600000000001,0.00243205,0.00127955,86.3767,13.4609,0.00119449,0.00243205,0.00167893,-0.00019672599999999999
152,0.12248800000000001,13.4609,80.9709,-0.00910881,0.00164945,0.000216149,86.3767,13.4609,0.00028335599999999996,0.00164945,0.00167893,-0.000123564
153,0.12248800000000001,13.4609,80.9709,-0.0113815,0.00048269,0.00130101,86.3767,13.4609,0.00130666,0.00048269,0.00167893,-0.000149168
154,0.12248800000000001,13.4609,80.9709,-0.00174382,0.00131538,0.00121587,86.3767,13.4609,0.00118773,0.00131538,0.00167893,-2.92659e-05
155,0.12248800000000001,13.4609,80.9709,0.00852821,-0.000555178,-0.00685497,86.3767,13.4609,-0.00634599,-0.000555178,0.00167893,8.88214e-05
156,0.12248800000000001,13.4609,80.9709,0.00935976,-0.000202517,-0.00409736,86.3767,13.4609,-0.0035909999999999996,-0.000202517,0.00167893,0.000119224
157,0.12248800000000001,13.4609,80.9709,0.00566629,0.00109303,-0.00176021,86.3767,13.4609,-0.0015080999999999998,0.00109303,0.00167893,7.75746e-05
158,0.12248800000000001,13.4609,80.9709,0.0153662,-0.00157158,-0.00430927,86.3767,13.4609,-0.00369928,-0.00157158,0.00167893,0.000201217
159,0.12248800000000001,13.4609,80.9709,0.0164345,0.001573,0.00330907,86.3767,13.4609,0.0032247,0.001573,0.00167893,0.000204311
160,0.12248800000000001,13.4609,80.9709,0.0205416,0.00145715,0.00148166,86.3767,13.4609,0.00148964,0.00145715,0.00167893,0.00025639900000000004
161,0.12248800000000001,13.4609,80.9709,0.0278803,-0.000391295,-0.000582156,86.3767,13.4609,-0.000328173,-0.000391295,0.00167893,0.00034974
162,0.12248800000000001,13.4609,80.9709,0.0293098,-0.000951143,0.00233082,86.3767,13.4609,0.00234947,-0.000951143,0.00167893,0.000370085
