,L0,L1,L2,F,time,P,G_L0,K_L1,G_L2
x0,0.028606224171102666,0.0,8.217356507022952e-13,7.152439763981067,144.09768571428577,0.008348196371848315,,,
phi,-35.16685714316216,,18.43494882292201,-35.16685714287412,144.09768571428577,,,,
Quality,360.4821847885193,,3908.145380989258,12620.968126192141,144.09768571428577,,,,
G0,,,,,144.09768571428577,,291831.46723297605,,
phi_G0,,,,,144.09768571428577,,-8.49999999971196,,
K1,,,,,144.09768571428577,,,0.0,
phi_K1,,,,,144.09768571428577,,,,
G2,,,,,144.09768571428577,,,,1.0159223790173324e+16
phi_G2,,,,,144.09768571428577,,,,117.89819403420387
