,X [mm],Y [mm],Z [mm],U [mm],V [mm],W [mm],R [mm],Z [mm] (cylinder),dR [mm],dZ [mm] (cylinder),Theta [rad],dTheta [rad]
150,0.519058,21.9131,81.1469,-0.0236031,0.00271044,-0.000421514,86.3614,21.9131,-0.000453205,0.00271044,0.00635777,-0.000309573
151,0.519058,21.9131,81.1469,-0.0169703,0.00219094,0.00101512,86.3614,21.9131,0.00105671,0.00219094,0.00635777,-0.00022735
152,0.519058,21.9131,81.1469,-0.010822799999999999,0.00188905,0.000197623,86.3614,21.9131,0.00040146400000000003,0.00188905,0.00635777,-0.000148591
153,0.519058,21.9131,81.1469,-0.012981,0.0009665969999999999,0.00119388,86.3614,21.9131,0.00132114,0.0009665969999999999,0.00635777,-0.00017020299999999998
154,0.519058,21.9131,81.1469,-0.00257872,0.00161012,0.00129307,86.3614,21.9131,0.001353,0.00161012,0.00635777,-4.3206899999999995e-05
155,0.519058,21.9131,81.1469,0.00812733,-0.000490784,-0.00688817,86.3614,21.9131,-0.00645427,-0.000490784,0.00635777,8.25626e-05
156,0.519058,21.9131,81.1469,0.00926493,-0.000158809,-0.00409886,86.3614,21.9131,-0.00368274,-0.000158809,0.00635777,0.000117325
157,0.519058,21.9131,81.1469,0.00577245,0.000970708,-0.00209996,86.3614,21.9131,-0.00181237,0.000970708,0.00635777,7.70605e-05
158,0.519058,21.9131,81.1469,0.016403,-0.00141961,-0.00378945,86.3614,21.9131,-0.00339216,-0.00141961,0.00635777,0.00021418099999999997
159,0.519058,21.9131,81.1469,0.017641999999999998,0.00156022,0.00415424,86.3614,21.9131,0.00387284,0.00156022,0.00635777,0.000220347
160,0.519058,21.9131,81.1469,0.0221021,0.00154846,0.00177258,86.3614,21.9131,0.0016755,0.00154846,0.00635777,0.000275133
161,0.519058,21.9131,81.1469,0.030451699999999998,-0.000525646,-0.000627348,86.3614,21.9131,-0.00047052300000000003,-0.000525646,0.00635777,0.000382529
162,0.519058,21.9131,81.1469,0.03247,-0.0009650580000000001,0.0032991999999999995,86.3614,21.9131,0.00314841,-0.0009650580000000001,0.00635777,0.000411501
163,0.519058,21.9131,81.1469,0.036298199999999996,-0.000113757,0.00581597,86.3614,21.9131,0.00564967,-0.000113757,0.00635777,0.00045835
164,0.519058,21.9131,81.1469,0.0394326,-0.00019276,0.00535024,86.3614,21.9131,0.00526825,-0.00019276,0.00635777,0.000500955
165,0.519058,21.9131,81.1469,0.044006800000000006,-0.00047414699999999996,0.00299968,86.3614,21.9131,0.00300249,-0.00047414699999999996,0.00635777,0.000560584
166,0.519058,21.9131,81.1469,0.0434944,-0.00153803,0.00124863,86.3614,21.9131,0.00141963,-0.00153803,0.00635777,0.000554674
167,0.519058,21.9131,81.1469,0.0469689,-0.00013874700000000002,0.00569917,86.3614,21.9131,0.00581617,-0.00013874700000000002,0.00635777,0.000593193
168,0.519058,21.9131,81.1469,0.05196130000000001,-0.00350823,0.00397758,86.3614,21.9131,0.00419554,-0.00350823,0.00635777,0.0006570339999999999
169,0.519058,21.9131,81.1469,0.0450453,0.0018268000000000002,0.00623672,86.3614,21.9131,0.0061872,0.0018268000000000002,0.00635777,0.000576182
170,0.519058,21.9131,81.1469,0.0507931,-0.00108889,0.00227535,86.3614,21.9131,0.00262675,-0.00108889,0.00635777,0.000641173
171,0.519058,21.9131,81.1469,0.0460746,-0.000892125,0.00123211,86.3614,21.9131,0.00159142,-0.000892125,0.00635777,0.000584415
172,0.519058,21.9131,81.1469,0.038604400000000004,-0.000606643,-1.44014e-06,86.3614,21.9131,0.000224734,-0.000606643,0.00635777,0.000488279
173,0.519058,21.9131,81.1469,0.037332199999999996,0.000541337,-0.00600538,86.3614,21.9131,-0.00529287,0.000541337,0.00635777,0.000479241
174,0.519058,21.9131,81.1469,0.033525900000000004,0.000612329,-0.00289862,86.3614,21.9131,-0.00235771,0.000612329,0.00635777,0.000425802
175,0.519058,21.9131,81.1469,0.0254437,0.00106239,-0.00124761,86.3614,21.9131,-0.000967749,0.00106239,0.00635777,0.00032193099999999996
176,0.519058,21.9131,81.1469,0.021780599999999997,0.00084498,-0.00446916,86.3614,21.9131,-0.00383826,0.00084498,0.00635777,0.000263213
177,0.519058,21.9131,81.1469,0.0171527,0.00270348,-0.0114926,86.3614,21.9131,-0.0106709,0.00270348,0.00635777,0.00021145799999999998
178,0.519058,21.9131,81.1469,0.0125479,0.00227211,0.00230076,86.3614,21.9131,0.00217865,0.00227211,0.00635777,0.000153855
179,0.519058,21.9131,81.1469,0.0104616,0.00010931299999999999,0.0010231,86.3614,21.9131,0.000934755,0.00010931299999999999,0.00635777,0.000122309
180,0.519058,21.9131,81.1469,-0.00280639,0.00259911,0.00419889,86.3614,21.9131,0.00397474,0.00259911,0.00635777,-3.73063e-05
181,0.519058,21.9131,81.1469,-0.000610528,-0.000336682,0.000892895,86.3614,21.9131,0.0009510889999999999,-0.000336682,0.00635777,-1.72841e-05
182,0.519058,21.9131,81.1469,-0.00604126,0.000669972,0.00411665,86.3614,21.9131,0.00395697,0.000669972,0.00635777,-8.66322e-05
183,0.519058,21.9131,81.1469,-0.0147201,0.00376443,0.010081200000000002,86.3614,21.9131,0.00962907,0.00376443,0.00635777,-0.000193392
184,0.519058,21.9131,81.1469,-0.0134957,0.0012654,0.00618593,86.3614,21.9131,0.00545961,0.0012654,0.00635777,-0.000175727
185,0.519058,21.9131,81.1469,-0.020703700000000002,0.00275224,0.00557096,86.3614,21.9131,0.00520491,0.00275224,0.00635777,-0.000271408
186,0.519058,21.9131,81.1469,-0.0262632,0.00194631,0.00409123,86.3614,21.9131,0.00386878,0.00194631,0.00635777,-0.000339204
187,0.519058,21.9131,81.1469,-0.0318985,0.00204111,0.00289998,86.3614,21.9131,0.00272912,0.00204111,0.00635777,-0.00041329699999999997
188,0.519058,21.9131,81.1469,-0.0327461,0.00165901,-0.000409213,86.3614,21.9131,-0.000379565,0.00165901,0.00635777,-0.000428561
189,0.519058,21.9131,81.1469,-0.0362118,0.00390506,0.00428646,86.3614,21.9131,0.00412383,0.00390506,0.00635777,-0.000480526
190,0.519058,21.9131,81.1469,-0.038455199999999995,0.0009447710000000001,0.00213511,86.3614,21.9131,0.00182283,0.0009447710000000001,0.00635777,-0.000501457
191,0.519058,21.9131,81.1469,-0.0398864,0.00295999,0.00354279,86.3614,21.9131,0.00330394,0.00295999,0.00635777,-0.000526467
192,0.519058,21.9131,81.1469,-0.040567900000000004,0.00213117,0.00111685,86.3614,21.9131,0.00095539,0.00213117,0.00635777,-0.000532813
193,0.519058,21.9131,81.1469,-0.0476356,0.00141202,-0.00140975,86.3614,21.9131,-0.00132238,0.00141202,0.00635777,-0.000617534
194,0.519058,21.9131,81.1469,-0.0457297,0.00112374,-0.00271745,86.3614,21.9131,-0.00266794,0.00112374,0.00635777,-0.000598078
195,0.519058,21.9131,81.1469,-0.0402801,0.00343039,0.00575378,86.3614,21.9131,0.00534552,0.00343039,0.00635777,-0.00052983
196,0.519058,21.9131,81.1469,-0.0380213,0.00610078,0.00564128,86.3614,21.9131,0.00524925,0.00610078,0.00635777,-0.000504026
197,0.519058,21.9131,81.1469,-0.0362043,0.00372905,0.006300399999999999,86.3614,21.9131,0.00591884,0.00372905,0.00635777,-0.000482049
198,0.519058,21.9131,81.1469,-0.0291308,0.00257274,0.00393082,86.3614,21.9131,0.00368512,0.00257274,0.00635777,-0.00039073
199,0.519058,21.9131,81.1469,-0.0270228,0.00324063,0.00390698,86.3614,21.9131,0.00373089,0.00324063,0.00635777,-0.00035869699999999994
200,0.519058,21.9131,81.1469,-0.020935299999999997,0.00413426,0.000751565,86.3614,21.9131,0.000738257,0.00413426,0.00635777,-0.000277422
201,0.519058,21.9131,81.1469,-0.0152566,0.00177193,0.00127423,86.3614,21.9131,0.00116744,0.00177193,0.00635777,-0.000199609
