,X [mm],Y [mm],Z [mm],U [mm],V [mm],W [mm],R [mm],Z [mm] (cylinder),dR [mm],dZ [mm] (cylinder),Theta [rad],dTheta [rad]
0,-0.136988,-28.8856,80.8511,0.0,0.0,0.0,86.3,-28.8856,0.0,0.0,-0.00163242,0.0
1,-0.136988,-28.8856,80.8511,-0.000767853,-0.000150072,0.000699124,86.3,-28.8856,0.00064045,-0.000150072,-0.00163242,-7.19367e-06
2,-0.136988,-28.8856,80.8511,0.00310262,-0.000657528,0.0008245339999999999,86.3,-28.8856,0.000715173,-0.000657528,-0.00163242,3.52853e-05
3,-0.136988,-28.8856,80.8511,0.00219676,-0.00111279,0.000601539,86.3,-28.8856,0.000492815,-0.00111279,-0.00163242,2.23111e-05
4,-0.136988,-28.8856,80.8511,0.000900777,-0.00138628,-0.0007219780000000001,86.3,-28.8856,-0.0006624789999999999,-0.00138628,-0.00163242,4.05911e-06
5,-0.136988,-28.8856,80.8511,0.00142305,0.000613837,0.00091883,86.3,-28.8856,0.0009116010000000001,0.000613837,-0.00163242,1.45551e-05
6,-0.136988,-28.8856,80.8511,0.00322944,-0.00160628,0.000547145,86.3,-28.8856,0.00053431,-0.00160628,-0.00163242,3.77921e-05
7,-0.136988,-28.8856,80.8511,0.00236764,-0.000440142,0.00234517,86.3,-28.8856,0.00217299,-0.000440142,-0.00163242,3.60403e-05
8,-0.136988,-28.8856,80.8511,0.00926567,0.00016146700000000002,0.00032665900000000003,86.3,-28.8856,0.00017183,0.00016146700000000002,-0.00163242,0.000114911
9,-0.136988,-28.8856,80.8511,0.00970633,-0.00342344,-0.00337422,86.3,-28.8856,-0.00319647,-0.00342344,-0.00163242,0.00012261799999999998
10,-0.136988,-28.8856,80.8511,0.0104131,-0.000600815,-0.000540135,86.3,-28.8856,-0.000630673,-0.000600815,-0.00163242,0.000133936
11,-0.136988,-28.8856,80.8511,0.0148584,-0.00133887,-0.0021917,86.3,-28.8856,-0.00220998,-0.00133887,-0.00163242,0.000185507
12,-0.136988,-28.8856,80.8511,0.0148833,-0.000954587,0.000524875,86.3,-28.8856,0.00034542599999999997,-0.000954587,-0.00163242,0.00019084400000000002
13,-0.136988,-28.8856,80.8511,0.0164518,-0.00102809,0.00290787,86.3,-28.8856,0.00264345,-0.00102809,-0.00163242,0.000210163
14,-0.136988,-28.8856,80.8511,0.0179328,-0.00225331,-0.00201717,86.3,-28.8856,-0.00186451,-0.00225331,-0.00163242,0.000223207
