,X [mm],Y [mm],Z [mm],U [mm],V [mm],W [mm],R [mm],Z [mm] (cylinder),dR [mm],dZ [mm] (cylinder),Theta [rad],dTheta [rad]
150,-0.0845077,10.0878,81.0268,-0.0196903,0.00207434,3.51965e-05,86.3656,10.0878,8.90572e-05,0.00207434,-0.00109533,-0.00025387
151,-0.0845077,10.0878,81.0268,-0.0139665,0.00248931,0.00114341,86.3656,10.0878,0.00123517,0.00248931,-0.00109533,-0.000182206
152,-0.0845077,10.0878,81.0268,-0.00844147,0.00165263,-0.00028335,86.3656,10.0878,-0.000104731,0.00165263,-0.00109533,-0.000114796
153,-0.0845077,10.0878,81.0268,-0.010706,0.00037885,0.001255,86.3656,10.0878,0.00135545,0.00037885,-0.00109533,-0.000139471
154,-0.0845077,10.0878,81.0268,-0.00126852,0.00109151,0.00104759,86.3656,10.0878,0.00103037,0.00109151,-0.00109533,-2.0946799999999997e-05
155,-0.0845077,10.0878,81.0268,0.00892304,-0.0007795419999999999,-0.00690774,86.3656,10.0878,-0.00642239,-0.0007795419999999999,-0.00109533,9.0323e-05
156,-0.0845077,10.0878,81.0268,0.00965114,-0.000460475,-0.00330128,86.3656,10.0878,-0.00300555,-0.000460475,-0.00109533,0.00012158299999999999
157,-0.0845077,10.0878,81.0268,0.00575916,0.000921901,-0.00147069,86.3656,10.0878,-0.00132252,0.000921901,-0.00109533,7.76252e-05
158,-0.0845077,10.0878,81.0268,0.0154452,-0.00162696,-0.00338286,86.3656,10.0878,-0.00297925,-0.00162696,-0.00109533,0.00019732700000000002
159,-0.0845077,10.0878,81.0268,0.016456000000000002,0.00143524,0.00426359,86.3656,10.0878,0.00394839,0.00143524,-0.00109533,0.000202854
160,-0.0845077,10.0878,81.0268,0.020319999999999998,0.00131682,0.00211781,86.3656,10.0878,0.0019391999999999999,0.00131682,-0.00109533,0.00025072
161,-0.0845077,10.0878,81.0268,0.0275517,-0.000642827,0.000253587,86.3656,10.0878,0.000263015,-0.000642827,-0.00109533,0.00034001699999999997
162,-0.0845077,10.0878,81.0268,0.0288797,-0.00112061,0.00338542,86.3656,10.0878,0.00318626,-0.00112061,-0.00109533,0.000357916
163,-0.0845077,10.0878,81.0268,0.031807499999999995,-0.000272841,0.00462407,86.3656,10.0878,0.00441526,-0.000272841,-0.00109533,0.00039639300000000004
164,-0.0845077,10.0878,81.0268,0.0343074,-0.000306537,0.00473486,86.3656,10.0878,0.00447418,-0.000306537,-0.00109533,0.00043169300000000003
165,-0.0845077,10.0878,81.0268,0.038063400000000004,-0.0007447269999999999,0.00227251,86.3656,10.0878,0.00226509,-0.0007447269999999999,-0.00109533,0.00047665800000000003
166,-0.0845077,10.0878,81.0268,0.037392400000000006,-0.00184073,0.000959703,86.3656,10.0878,0.0009754089999999999,-0.00184073,-0.00109533,0.00047072300000000004
167,-0.0845077,10.0878,81.0268,0.0401305,-0.000245845,0.00487742,86.3656,10.0878,0.00472512,-0.000245845,-0.00109533,0.000500808
168,-0.0845077,10.0878,81.0268,0.0445007,-0.00349727,0.00339155,86.3656,10.0878,0.00340702,-0.00349727,-0.00109533,0.000555656
169,-0.0845077,10.0878,81.0268,0.038146,0.0016192000000000001,0.00549828,86.3656,10.0878,0.00534516,0.0016192000000000001,-0.00109533,0.00048065300000000005
170,-0.0845077,10.0878,81.0268,0.0431015,-0.00161854,0.00188694,86.3656,10.0878,0.00209792,-0.00161854,-0.00109533,0.000536857
171,-0.0845077,10.0878,81.0268,0.0387489,-0.00109616,0.000446338,86.3656,10.0878,0.000655192,-0.00109616,-0.00109533,0.00048228699999999997
172,-0.0845077,10.0878,81.0268,0.032388,-0.00015147200000000002,-0.000473212,86.3656,10.0878,-0.00039482300000000004,-0.00015147200000000002,-0.00109533,0.00040296099999999997
173,-0.0845077,10.0878,81.0268,0.0314449,0.00029691200000000003,-0.00447356,86.3656,10.0878,-0.00400804,0.00029691200000000003,-0.00109533,0.000395866
174,-0.0845077,10.0878,81.0268,0.028264400000000002,0.00044683300000000005,-0.00182125,86.3656,10.0878,-0.00145689,0.00044683300000000005,-0.00109533,0.000351401
175,-0.0845077,10.0878,81.0268,0.0213197,0.00103562,-0.000532437,86.3656,10.0878,-0.00036722199999999995,0.00103562,-0.00109533,0.000264588
176,-0.0845077,10.0878,81.0268,0.018259599999999997,0.000573407,-0.00395833,86.3656,10.0878,-0.00345021,0.000573407,-0.00109533,0.00021345900000000002
177,-0.0845077,10.0878,81.0268,0.014298500000000002,0.00241933,-0.011247799999999999,86.3656,10.0878,-0.010449600000000002,0.00241933,-0.00109533,0.000175875
178,-0.0845077,10.0878,81.0268,0.0102431,0.0022397,0.0025733,86.3656,10.0878,0.002358,0.0022397,-0.00109533,0.000126761
179,-0.0845077,10.0878,81.0268,0.00894143,0.000115503,0.00126185,86.3656,10.0878,0.00112681,0.000115503,-0.00109533,0.000102695
180,-0.0845077,10.0878,81.0268,-0.00346947,0.00247455,0.0048145,86.3656,10.0878,0.00452054,0.00247455,-0.00109533,-4.42181e-05
181,-0.0845077,10.0878,81.0268,-0.000953513,-0.0005894159999999999,0.000989548,86.3656,10.0878,0.0010111,-0.0005894159999999999,-0.00109533,-2.10062e-05
182,-0.0845077,10.0878,81.0268,-0.00584479,0.00045945599999999996,0.00456629,86.3656,10.0878,0.00442168,0.00045945599999999996,-0.00109533,-8.25873e-05
183,-0.0845077,10.0878,81.0268,-0.0139575,0.0034686,0.0102321,86.3656,10.0878,0.00971637,0.0034686,-0.00109533,-0.000179225
184,-0.0845077,10.0878,81.0268,-0.0119315,0.000775835,0.00641437,86.3656,10.0878,0.00570206,0.000775835,-0.00109533,-0.00015314
185,-0.0845077,10.0878,81.0268,-0.0187404,0.00226154,0.00539914,86.3656,10.0878,0.00504189,0.00226154,-0.00109533,-0.000242412
186,-0.0845077,10.0878,81.0268,-0.023515400000000002,0.00121374,0.00441346,86.3656,10.0878,0.00420103,0.00121374,-0.00109533,-0.000301195
187,-0.0845077,10.0878,81.0268,-0.028336400000000005,0.00168589,0.0034159,86.3656,10.0878,0.00327687,0.00168589,-0.00109533,-0.000362235
