,X [mm],Y [mm],Z [mm],U [mm],V [mm],W [mm],R [mm],Z [mm] (cylinder),dR [mm],dZ [mm] (cylinder),Theta [rad],dTheta [rad]
0,-3.44982,-37.2843,81.2569,0.0,0.0,0.0,86.3231,-37.2843,0.0,0.0,-0.041763800000000004,0.0
1,-3.44982,-37.2843,81.2569,-0.000824588,-0.00021789400000000002,0.000269053,86.3231,-37.2843,0.000234033,-0.00021789400000000002,-0.041763800000000004,-8.70672e-06
2,-3.44982,-37.2843,81.2569,0.00321301,-0.000722213,0.000882693,86.3231,-37.2843,0.000530422,-0.000722213,-0.041763800000000004,3.8421100000000004e-05
3,-3.44982,-37.2843,81.2569,0.00226432,-0.00113078,0.000678764,86.3231,-37.2843,0.000391044,-0.00113078,-0.041763800000000004,2.5483000000000003e-05
4,-3.44982,-37.2843,81.2569,0.000938655,-0.00154451,-0.000838804,86.3231,-37.2843,-0.0009130910000000001,-0.00154451,-0.041763800000000004,6.72697e-06
5,-3.44982,-37.2843,81.2569,0.00130912,0.00045018900000000004,0.00016188,86.3231,-37.2843,9.9506e-05,0.00045018900000000004,-0.041763800000000004,1.47366e-05
6,-3.44982,-37.2843,81.2569,0.00307399,-0.00174385,0.000333089,86.3231,-37.2843,0.000129363,-0.00174385,-0.041763800000000004,3.78649e-05
7,-3.44982,-37.2843,81.2569,0.00212014,-0.000568677,0.00236728,86.3231,-37.2843,0.00202464,-0.000568677,-0.041763800000000004,3.33596e-05
8,-3.44982,-37.2843,81.2569,0.00869653,3.42543e-05,-0.00033873,86.3231,-37.2843,-0.000868065,3.42543e-05,-0.041763800000000004,0.000108779
9,-3.44982,-37.2843,81.2569,0.00916879,-0.00341932,-0.00336182,86.3231,-37.2843,-0.00366176,-0.00341932,-0.041763800000000004,0.000114671
10,-3.44982,-37.2843,81.2569,0.00964417,-0.000510791,-0.0008875589999999999,86.3231,-37.2843,-0.0013915999999999998,-0.000510791,-0.041763800000000004,0.000123919
11,-3.44982,-37.2843,81.2569,0.0140588,-0.00134776,-0.00237725,86.3231,-37.2843,-0.00301619,-0.00134776,-0.041763800000000004,0.000175949
12,-3.44982,-37.2843,81.2569,0.0139947,-0.0006060659999999999,0.00043584,86.3231,-37.2843,-0.000341412,-0.0006060659999999999,-0.041763800000000004,0.000179499
13,-3.44982,-37.2843,81.2569,0.0152835,-0.0007778739999999999,0.00322389,86.3231,-37.2843,0.00221876,-0.0007778739999999999,-0.041763800000000004,0.00019969400000000002
14,-3.44982,-37.2843,81.2569,0.016715200000000003,-0.00190722,-0.00159843,86.3231,-37.2843,-0.0022496,-0.00190722,-0.041763800000000004,0.00021014799999999998
15,-3.44982,-37.2843,81.2569,0.0164558,-0.00198222,-0.000722966,86.3231,-37.2843,-0.00148572,-0.00198222,-0.041763800000000004,0.00021360099999999998
16,-3.44982,-37.2843,81.2569,0.0191725,-0.000191845,-0.00097667,86.3231,-37.2843,-0.00181329,-0.000191845,-0.041763800000000004,0.000243242
17,-3.44982,-37.2843,81.2569,0.0198481,-0.00114519,-0.00131655,86.3231,-37.2843,-0.00222913,-0.00114519,-0.041763800000000004,0.000252184
18,-3.44982,-37.2843,81.2569,0.018605700000000003,-0.00199796,-0.0017534000000000002,86.3231,-37.2843,-0.00268614,-0.00199796,-0.041763800000000004,0.00024197799999999998
