,X [mm],Y [mm],Z [mm],U [mm],V [mm],W [mm],R [mm],Z [mm] (cylinder),dR [mm],dZ [mm] (cylinder),Theta [rad],dTheta [rad]
150,-0.304243,-46.24100000000001,81.1097,-0.0070885,-0.00237316,-0.00210471,86.3608,-46.24100000000001,-0.00187738,-0.00237316,-0.00381571,-9.133129999999999e-05
151,-0.304243,-46.24100000000001,81.1097,-0.00366872,0.000525849,-0.000439877,86.3608,-46.24100000000001,-0.000307245,0.000525849,-0.00381571,-4.7889099999999995e-05
152,-0.304243,-46.24100000000001,81.1097,0.000144038,0.00117508,-0.00262464,86.3608,-46.24100000000001,-0.00243715,0.00117508,-0.00381571,-8.01845e-06
153,-0.304243,-46.24100000000001,81.1097,-0.00309361,-0.00120907,0.00227699,86.3608,-46.24100000000001,0.00223482,-0.00120907,-0.00381571,-3.99086e-05
154,-0.304243,-46.24100000000001,81.1097,0.00377143,0.00166988,0.000563945,86.3608,-46.24100000000001,0.000551963,0.00166988,-0.00381571,4.01473e-05
155,-0.304243,-46.24100000000001,81.1097,0.012819899999999999,-0.00121514,-0.00631873,86.3608,-46.24100000000001,-0.00606112,-0.00121514,-0.00381571,0.000147828
156,-0.304243,-46.24100000000001,81.1097,0.0113757,-0.000941555,-0.0014536,86.3608,-46.24100000000001,-0.00158582,-0.000941555,-0.00381571,0.00014091899999999998
157,-0.304243,-46.24100000000001,81.1097,0.00568618,0.0008165189999999999,-0.00256844,86.3608,-46.24100000000001,-0.00250501,0.0008165189999999999,-0.00381571,7.38815e-05
158,-0.304243,-46.24100000000001,81.1097,0.0129658,-0.00233405,-0.00206025,86.3608,-46.24100000000001,-0.00212896,-0.00233405,-0.00381571,0.000165715
159,-0.304243,-46.24100000000001,81.1097,0.0121771,0.000911688,0.00266581,86.3608,-46.24100000000001,0.00234484,0.000911688,-0.00381571,0.000150662
160,-0.304243,-46.24100000000001,81.1097,0.014002299999999999,0.00103557,0.00180914,86.3608,-46.24100000000001,0.00140963,0.00103557,-0.00381571,0.000173177
161,-0.304243,-46.24100000000001,81.1097,0.0173403,-0.000581027,-4.90947e-05,86.3608,-46.24100000000001,-0.00026089099999999997,-0.000581027,-0.00381571,0.00021479
162,-0.304243,-46.24100000000001,81.1097,0.017285400000000003,-0.00027346200000000003,0.00146311,86.3608,-46.24100000000001,0.00105586,-0.00027346200000000003,-0.00381571,0.00021643099999999997
163,-0.304243,-46.24100000000001,81.1097,0.018065599999999998,0.000619214,0.00141433,86.3608,-46.24100000000001,0.00111607,0.000619214,-0.00381571,0.00022600400000000003
