,Image,Time,Ezz_bas_x,Ezz_bas_signal_1,Ezz_bas_signal_2,Ezz_bas_quality_1,Ezz_bas_quality_2,Delta_uz_x,Delta_uz_signal_1,Delta_uz_signal_2,Delta_uz_quality_1,Delta_uz_quality_2,Ezz_haut_x,Ezz_haut_signal_1,Ezz_haut_signal_2,Ezz_haut_quality_1,Ezz_haut_quality_2,Charge_x,Charge_signal_1,Charge_signal_2,Charge_quality_1,Charge_quality_2
0,30,131.517,-160.52133549655127,-14.942843298585297,-41.866332401783694,3.439612575254587,2.8034858350273315,-0.0025518750897830698,-0.00029513659548123413,-0.0006726546436312004,3.268150548560114,2.721438636981564,-211.11675461165106,-22.464330888420452,-55.48987384659366,3.335453213998864,2.7515478963258535,-1052.8328571428572,-32.224760981576935,-211.61834630940083,4.813888766647206,3.9677454051882037
1,31,131.544,-152.65556703299086,-21.413882440764517,-42.313442733456455,3.1008739127971623,2.6070757609226436,-0.0024338684190964625,-0.0003962982075205719,-0.0006893494230835764,2.950756687806492,2.526367467116243,-195.65650864350954,-30.90552185749492,-56.54184720922035,2.912865880753745,2.4596049997009692,-847.1728571428571,-67.14119818213054,-206.39681391269485,3.6791650534847897,3.0223399246431994
2,32,131.571,-130.53938575731348,-27.270111679201772,-41.54569986297241,2.4399640935520592,2.102671874799849,-0.0023028548031052815,-0.00048608177713847794,-0.0006862524224316093,2.631003891861871,2.3411219202146576,-172.3757982840702,-38.45939026977242,-55.97045835642319,2.367697719981478,2.0580947624501142,-610.6928571428571,-100.12995721848992,-195.249461868647,2.4081653064060577,1.959516391463412
3,33,131.598,-104.8845422375824,-32.3433939306687,-39.585146309785095,1.713944430751252,1.542842077828018,-0.0019777089027411036,-0.0005619095453534041,-0.0006634525590716602,2.050324155049755,1.9032721785696745,-143.6875818695031,-44.90905844676403,-53.7921123248199,1.7464453248043068,1.5893892423913139,-358.29285714285714,-130.2439041077004,-178.49633968046047,1.0756354935755073,0.8480438661518779
4,34,131.625,-78.60236457694447,-36.488071153872184,-36.48807115387322,0.9950429563384702,0.9950429563384456,-0.0017391858665901628,-0.0006216044355419042,-0.0006216044355419187,1.6184526369196843,1.6184526369196632,-114.5687483612013,-50.06935119279056,-50.06935119279184,1.1403761337409906,1.140376133740968,-107.05285714285714,-156.61844305120985,-156.61844305121681,0.23378534631847683,0.23378534631850967
5,35,131.651,-47.99834056815999,-39.49025499703445,-32.514278880531066,0.20102226420912472,0.3658450674455491,-0.0014499122335089472,-0.0006622365242685469,-0.0005644201945443924,1.1406916697443412,1.2823467584723027,-76.13259221969986,-53.6812455350941,-45.12420457997495,0.39694913523949416,0.5482411737554959,57.96714285714288,-177.7739887953755,-131.2924439293297,1.1119170911607466,0.8926782006123936
6,36,131.679,-33.53816979632367,-41.545699862972015,-27.27011167920334,0.1891955377345066,0.14809668101765736,-0.0011139392813146296,-0.0006862524224316055,-0.0004860817771385017,0.6193650908156845,0.9092470624628576,-54.96225560155981,-55.97045835642279,-38.45939026977443,0.017825443493923867,0.2917775140373975,226.7671428571429,-195.24946186864298,-100.12995721849899,1.9905201619202357,1.5418712469776517
7,37,131.705,-5.6168466617477515,-42.30664132540582,-21.642839662703032,0.8668772234363765,0.37864938855162816,-0.0007407380859651022,-0.0006895888368799675,-0.00039984340154057606,0.07407302480021549,0.4936748997352963,-22.176037364425877,-56.54967360824963,-31.202540223160554,0.6077401669352187,0.15959231997732923,586.027142857143,-206.08815544418715,-68.40342028350797,3.7361597960316444,3.086744018886907
8,38,131.732,37.775923711092155,-41.90451177101416,-15.191351361897736,1.8826258175096278,1.2514685560163425,-0.00018337510681008598,-0.0006736220199538844,-0.00029905317640943586,0.7099629497021002,0.1675220002548183,31.86877464605455,-55.55757250280491,-22.790028026742092,1.545734132807409,0.966390335465695,816.4471428571429,-211.5329039433053,-33.54075727686953,4.848659949144823,4.0091267349642665
9,39,131.76,62.31389869116012,-40.21720576760381,-8.042783026059983,2.4225232101698713,1.6623315953750206,0.00020104985935957346,-0.00063664740471039,-0.00018550137281303955,1.2131315967756926,0.5597935359640955,67.13205384525018,-52.84474127557141,-13.378170790134181,2.1212395737789294,1.423454213945493,996.407142857143,-210.76414463576452,3.6168751991775263,5.693848914326903,4.682680781282112
10,40,131.787,94.44656610227419,-37.41341059188214,-0.9118079405923734,3.115482425750346,2.2530516531772213,0.0006986356872380146,-0.0005823615033056274,-7.054025553044447e-05,1.855107129846845,1.1139007845371418,104.35945957236494,-48.68239339403179,-3.9079125761227775,2.705843531074927,1.9142121117599837,1133.6271428571426,-203.85873371348316,39.35466796440642,6.308502020500522,5.161340571714373
11,41,131.814,114.25058333530691,-33.53544610435622,6.245345889137614,3.4917705056070933,2.5518616610482527,0.001125348922887378,-0.0005113555316017257,4.6446129604938905e-05,2.3702332256374965,1.5624392301598429,133.87856749073893,-43.12233457992128,5.674544972187432,3.1294494713644263,2.2667003716021092,1252.2871428571427,-191.100373481469,73.96255634680034,6.808006890162134,5.5577880596882805
12,42,131.841,129.06425342292223,-28.69465180545343,13.223190781526073,3.72740166551539,2.737000292944151,0.0014823897419335799,-0.0004256681285398876,0.00016209900875191753,2.763200251964273,1.9120110260012129,159.15294728017054,-36.32419862377639,15.094081739662009,3.4561171370116726,2.547020582025793,1333.4271428571428,-172.85536679243626,106.4469198488698,7.1046628768398765,5.7872814596058575
13,43,131.868,152.54411832205415,-23.030010819102483,19.821387159728335,4.148325575882925,3.1358669006358078,0.0018244918282724503,-0.0003277594488433936,0.0002730978941056612,3.116834852467661,2.246688727906236,183.75643603631903,-28.483165513371322,24.080255198676547,3.7524843156286494,2.8231412036101773,1386.087142857143,-149.6475425614695,135.87510609177332,7.24357956643026,5.896858649611271
14,44,131.895,155.90699254132716,-16.704159574685207,25.850495463162087,4.078318716476677,3.07287124690984,0.002363464333605426,-0.00022044052998305505,0.00037625591779179014,3.741944455986396,2.8778240326218225,196.94756268505176,-19.824357658195687,32.37506503311193,3.8326175945364036,2.9097101187223653,1396.3471428571427,-122.14321621363102,161.40220802045462,7.162243479438117,5.824848510998648
15,45,131.922,166.48662547127847,-9.898718383491603,31.13741511064672,4.1674923105292905,3.1979232576068135,0.00233966405685652,-0.00010679258501583753,0.0004686113294228814,3.542895482286353,2.7096103571534536,213.03624602176592,-10.596376442837073,39.74036053628644,3.953917657845086,3.0639432391461208,1384.8671428571429,-91.1320592287117,182.29532186916197,6.961825998858754,5.67215467123407
16,46,131.949,171.9364504177057,-2.80907697248643,35.5303543582831,4.128748034176972,3.2228945104703497,0.00247190188541146,9.921461537509737e-06,0.0005475125303508138,3.5653766234519493,2.7868510872059975,219.19983356458445,-1.0641646798847102,45.96467811062284,3.8943589823716986,3.0628695069628034,1348.0071428571428,-57.50442703348041,197.95458942213895,6.629357912344021,5.424437733599799
17,47,131.976,168.9625959698403,4.361215312899888,38.90318836328631,3.889070220908565,3.072940014554675,0.0027460884318657127,0.0001263506548964557,0.0006106942032102399,3.7938367580043666,3.0924229091645397,223.68013189240756,8.49860011266441,50.86931255870022,3.804498864116964,3.055367068095681,1229.087142857143,-22.225796176736697,207.93042042855313,5.902051260843231,4.816476464937296
