,Amplitude,phi,Quality (%),value
Ezz_bas,171.80830603031225,-68.32038667408487,4.451703124812401,
Delta_uz,0.002814074078784779,-86.18236665533703,6.597404814590763,
Ezz_haut,225.01059250948617,-73.68601111585919,4.803959936392059,
Charge,1386.26783897314,-46.848946734053364,5.228115924630882,
time,144.09770000000006,144.09770000000006,144.09770000000006,144.09770000000006
P,1.6180263694082617,,,
G0,,12.971439940031509,,9417.625997213383
K1,,30.83341992128367,,574.976466187054
G2,,18.337064381805824,,7190.889777067041
