AGroup,ATime,Charge,Charge_Phi,Charge_Quality,Delta_uz,Delta_uz_Phi,Delta_uz_Quality,Ezz_bas,Ezz_bas_Phi,Ezz_bas_Quality,Ezz_haut,Ezz_haut_Phi,Ezz_haut_Quality,G0,G0_Phi,G2,G2_Phi,K1,K1_Phi,P
30-99,136.97795714285718,212.013227898516,87.37749437221963,416.94565041455445,0.0006905246440669944,70.81674562653434,225.8205707418393,42.324095813956845,75.44555452107123,245.20793340681757,56.55975713628905,72.71807646065315,233.4060616057912,5846.739126392951,3.4319398511483996,4375.159291939308,6.159417911566479,358.3622237248601,8.060748745685288,0.2474579469846656
100-169,149.47221428571424,127.51394385457243,-63.741852971981096,713.8634283353833,0.0006947597214764735,70.60678019847713,256.6220959162565,29.754266109116905,82.20328006433282,371.7876183745763,43.73476540635182,78.86470420532252,328.2716694196588,5002.036801438487,25.554866963686095,3403.0577892611964,28.893442822696386,214.22072909077897,37.151366829541786,0.14883193407759668
170-209,157.04827500000002,1406.8879272743052,-42.679168883242625,2.2260927832021253,0.0030779386306673405,-86.13022974986714,7.024542415119164,175.22626490426117,-65.4577606332915,4.589063386197027,230.70381241714625,-71.47825505126504,5.3131528466964095,9371.276382455258,14.278591750048875,7117.757355972973,20.299086168022413,533.5043855397215,34.951060866624516,1.6420937578831514
