Count,Filename_0,Filename_1,Time_0,Time_1,Dev1/ai0,Dev1/ai1,Dev1/ai2,Dev1/ai3,Dev1/ai4,Dev1/ai5,Dev1/ai6,Dev1/ai7,Dev1/ai0_scaled,Dev1/ai1_scaled,Dev1/ai2_scaled,Dev1/ai3_scaled,Dev1/ai4_scaled,Dev1/ai5_scaled,Dev1/ai6_scaled,Dev1/ai7_scaled
151,D:/These Thien/20220111 test_compare_vba_python/70\Test-0151_0.tif,D:/These Thien/20220111 test_compare_vba_python/70\Test-0151_1.tif,156.0036,156.0035,5.8260,5.9336,5.9243,5.1179,5.2030,5.3445,5.4360,5.5569,5.8260,5.9336,5.9243,5.1179,5.2030,5.3445,5.4360,5.5569
152,D:/These Thien/20220111 test_compare_vba_python/70\Test-0152_0.tif,D:/These Thien/20220111 test_compare_vba_python/70\Test-0152_1.tif,156.0305,156.0304,4.8563,4.9993,5.0551,4.0799,4.1888,4.3548,4.4650,4.6068,4.8563,4.9993,5.0551,4.0799,4.1888,4.3548,4.4650,4.6068
153,D:/These Thien/20220111 test_compare_vba_python/70\Test-0153_0.tif,D:/These Thien/20220111 test_compare_vba_python/70\Test-0153_1.tif,156.0573,156.0574,3.8105,3.9645,4.0271,2.9114,3.0203,3.2079,3.3377,3.5034,3.8105,3.9645,4.0271,2.9114,3.0203,3.2079,3.3377,3.5034
154,D:/These Thien/20220111 test_compare_vba_python/70\Test-0154_0.tif,D:/These Thien/20220111 test_compare_vba_python/70\Test-0154_1.tif,156.0843,156.0842,2.6590,2.8453,2.8611,1.6642,1.7837,1.9797,2.1166,2.2945,2.6590,2.8453,2.8611,1.6642,1.7837,1.9797,2.1166,2.2945
155,D:/These Thien/20220111 test_compare_vba_python/70\Test-0155_0.tif,D:/These Thien/20220111 test_compare_vba_python/70\Test-0155_1.tif,156.1113,156.1112,1.3687,1.5688,1.6484,0.4383,0.5472,0.7428,0.8772,1.0586,1.3687,1.5688,1.6484,0.4383,0.5472,0.7428,0.8772,1.0586
156,D:/These Thien/20220111 test_compare_vba_python/70\Test-0156_0.tif,D:/These Thien/20220111 test_compare_vba_python/70\Test-0156_1.tif,156.1383,156.1384,0.2017,0.3793,0.4392,-0.5285,-0.4982,-0.3564,-0.2588,-0.1006,0.2017,0.3793,0.4392,-0.5285,-0.4982,-0.3564,-0.2588,-0.1006
157,D:/These Thien/20220111 test_compare_vba_python/70\Test-0157_0.tif,D:/These Thien/20220111 test_compare_vba_python/70\Test-0157_1.tif,156.1651,156.1651,-0.6010,-0.4747,-0.4847,-1.0973,-1.0957,-0.9907,-0.9323,-0.8176,-0.6010,-0.4747,-0.4847,-1.0973,-1.0957,-0.9907,-0.9323,-0.8176
158,D:/These Thien/20220111 test_compare_vba_python/70\Test-0158_0.tif,D:/These Thien/20220111 test_compare_vba_python/70\Test-0158_1.tif,156.1921,156.1920,-1.4451,-1.2743,-1.2133,-2.7554,-2.5414,-2.2543,-2.0425,-1.8012,-1.4451,-1.2743,-1.2133,-2.7554,-2.5414,-2.2543,-2.0425,-1.8012
159,D:/These Thien/20220111 test_compare_vba_python/70\Test-0159_0.tif,D:/These Thien/20220111 test_compare_vba_python/70\Test-0159_1.tif,156.2190,156.2189,-3.0000,-2.7528,-2.6713,-4.0229,-3.9346,-3.7474,-3.6072,-3.4028,-3.0000,-2.7528,-2.6713,-4.0229,-3.9346,-3.7474,-3.6072,-3.4028
160,D:/These Thien/20220111 test_compare_vba_python/70\Test-0160_0.tif,D:/These Thien/20220111 test_compare_vba_python/70\Test-0160_1.tif,156.2458,156.2459,-4.1621,-3.9771,-3.9600,-4.9037,-4.8382,-4.6916,-4.5969,-4.4467,-4.1621,-3.9771,-3.9600,-4.9037,-4.8382,-4.6916,-4.5969,-4.4467
161,D:/These Thien/20220111 test_compare_vba_python/70\Test-0161_0.tif,D:/These Thien/20220111 test_compare_vba_python/70\Test-0161_1.tif,156.2737,156.2728,-5.0442,-4.9085,-4.8405,-5.5604,-5.5089,-5.3961,-5.3284,-5.2098,-5.0442,-4.9085,-4.8405,-5.5604,-5.5089,-5.3961,-5.3284,-5.2098
162,D:/These Thien/20220111 test_compare_vba_python/70\Test-0162_0.tif,D:/These Thien/20220111 test_compare_vba_python/70\Test-0162_1.tif,156.3008,156.3007,-5.6175,-5.5231,-5.5128,-6.0787,-6.0522,-5.9494,-5.8950,-5.7944,-5.6175,-5.5231,-5.5128,-6.0787,-6.0522,-5.9494,-5.8950,-5.7944
163,D:/These Thien/20220111 test_compare_vba_python/70\Test-0163_0.tif,D:/These Thien/20220111 test_compare_vba_python/70\Test-0163_1.tif,156.3276,156.3277,-6.1164,-6.0258,-6.0358,-6.4509,-6.4515,-6.3739,-6.3371,-6.2559,-6.1164,-6.0258,-6.0358,-6.4509,-6.4515,-6.3739,-6.3371,-6.2559
164,D:/These Thien/20220111 test_compare_vba_python/70\Test-0164_0.tif,D:/These Thien/20220111 test_compare_vba_python/70\Test-0164_1.tif,156.3546,156.3547,-6.4899,-6.4383,-6.3996,-6.6336,-6.6549,-6.5985,-6.5853,-6.5308,-6.4899,-6.4383,-6.3996,-6.6336,-6.6549,-6.5985,-6.5853,-6.5308
165,D:/These Thien/20220111 test_compare_vba_python/70\Test-0165_0.tif,D:/These Thien/20220111 test_compare_vba_python/70\Test-0165_1.tif,156.3816,156.3817,-6.5888,-6.5724,-6.5966,-6.6784,-6.7113,-6.6736,-6.6781,-6.6420,-6.5888,-6.5724,-6.5966,-6.6784,-6.7113,-6.6736,-6.6781,-6.6420
166,D:/These Thien/20220111 test_compare_vba_python/70\Test-0166_0.tif,D:/These Thien/20220111 test_compare_vba_python/70\Test-0166_1.tif,156.4084,156.4086,-6.6294,-6.6143,-6.6475,-6.6188,-6.6668,-6.6442,-6.6607,-6.6388,-6.6294,-6.6143,-6.6475,-6.6188,-6.6668,-6.6442,-6.6607,-6.6388
167,D:/These Thien/20220111 test_compare_vba_python/70\Test-0167_0.tif,D:/These Thien/20220111 test_compare_vba_python/70\Test-0167_1.tif,156.4353,156.4354,-6.5614,-6.5827,-6.5708,-6.3210,-6.4100,-6.4232,-6.4731,-6.4799,-6.5614,-6.5827,-6.5708,-6.3210,-6.4100,-6.4232,-6.4731,-6.4799
168,D:/These Thien/20220111 test_compare_vba_python/70\Test-0168_0.tif,D:/These Thien/20220111 test_compare_vba_python/70\Test-0168_1.tif,156.4622,156.4624,-6.1505,-6.2205,-6.2868,-5.7735,-5.8905,-5.9336,-6.0155,-6.0538,-6.1505,-6.2205,-6.2868,-5.7735,-5.8905,-5.9336,-6.0155,-6.0538
169,D:/These Thien/20220111 test_compare_vba_python/70\Test-0169_0.tif,D:/These Thien/20220111 test_compare_vba_python/70\Test-0169_1.tif,156.4892,156.4894,-5.5882,-5.6794,-5.7467,-4.9939,-5.1457,-5.2166,-5.3287,-5.3961,-5.5882,-5.6794,-5.7467,-4.9939,-5.1457,-5.2166,-5.3287,-5.3961
170,D:/These Thien/20220111 test_compare_vba_python/70\Test-0170_0.tif,D:/These Thien/20220111 test_compare_vba_python/70\Test-0170_1.tif,156.5162,156.5161,-4.8115,-4.9485,-4.9862,-4.0332,-4.2124,-4.3100,-4.4493,-4.5401,-4.8115,-4.9485,-4.9862,-4.0332,-4.2124,-4.3100,-4.4493,-4.5401
171,D:/These Thien/20220111 test_compare_vba_python/70\Test-0171_0.tif,D:/These Thien/20220111 test_compare_vba_python/70\Test-0171_1.tif,156.5430,156.5440,-3.7793,-3.9443,-4.0590,-2.9314,-3.1292,-3.2462,-3.4061,-3.5182,-3.7793,-3.9443,-4.0590,-2.9314,-3.1292,-3.2462,-3.4061,-3.5182
172,D:/These Thien/20220111 test_compare_vba_python/70\Test-0172_0.tif,D:/These Thien/20220111 test_compare_vba_python/70\Test-0172_1.tif,156.5709,156.5710,-2.6935,-2.8676,-2.9639,-1.7357,-1.9339,-2.0574,-2.2314,-2.3580,-2.6935,-2.8676,-2.9639,-1.7357,-1.9339,-2.0574,-2.2314,-2.3580
173,D:/These Thien/20220111 test_compare_vba_python/70\Test-0173_0.tif,D:/These Thien/20220111 test_compare_vba_python/70\Test-0173_1.tif,156.5980,156.5979,-1.5150,-1.7116,-1.7786,-0.5472,-0.7454,-0.8701,-1.0416,-1.1676,-1.5150,-1.7116,-1.7786,-0.5472,-0.7454,-0.8701,-1.0416,-1.1676
174,D:/These Thien/20220111 test_compare_vba_python/70\Test-0174_0.tif,D:/These Thien/20220111 test_compare_vba_python/70\Test-0174_1.tif,156.6249,156.6248,-0.3065,-0.4886,-0.6220,0.2768,0.1708,0.1225,0.0074,-0.0770,-0.3065,-0.4886,-0.6220,0.2768,0.1708,0.1225,0.0074,-0.0770
175,D:/These Thien/20220111 test_compare_vba_python/70\Test-0175_0.tif,D:/These Thien/20220111 test_compare_vba_python/70\Test-0175_1.tif,156.6517,156.6518,0.3484,0.2488,0.1956,1.0267,0.8630,0.7750,0.6442,0.5646,0.3484,0.2488,0.1956,1.0267,0.8630,0.7750,0.6442,0.5646
176,D:/These Thien/20220111 test_compare_vba_python/70\Test-0176_0.tif,D:/These Thien/20220111 test_compare_vba_python/70\Test-0176_1.tif,156.6787,156.6788,1.2601,1.0728,1.0077,2.6758,2.3448,2.1086,1.8521,1.6584,1.2601,1.0728,1.0077,2.6758,2.3448,2.1086,1.8521,1.6584
177,D:/These Thien/20220111 test_compare_vba_python/70\Test-0177_0.tif,D:/These Thien/20220111 test_compare_vba_python/70\Test-0177_1.tif,156.7057,156.7056,2.9919,2.7177,2.5498,4.0470,3.8617,3.7348,3.5501,3.3832,2.9919,2.7177,2.5498,4.0470,3.8617,3.7348,3.5501,3.3832
178,D:/These Thien/20220111 test_compare_vba_python/70\Test-0178_0.tif,D:/These Thien/20220111 test_compare_vba_python/70\Test-0178_1.tif,156.7326,156.7325,4.1866,4.0006,3.9413,4.9826,4.8244,4.7348,4.5997,4.4908,4.1866,4.0006,3.9413,4.9826,4.8244,4.7348,4.5997,4.4908
179,D:/These Thien/20220111 test_compare_vba_python/70\Test-0179_0.tif,D:/These Thien/20220111 test_compare_vba_python/70\Test-0179_1.tif,156.7594,156.7596,5.1063,4.9491,4.8862,5.6780,5.5504,5.4898,5.3848,5.3049,5.1063,4.9491,4.8862,5.6780,5.5504,5.4898,5.3848,5.3049
180,D:/These Thien/20220111 test_compare_vba_python/70\Test-0180_0.tif,D:/These Thien/20220111 test_compare_vba_python/70\Test-0180_1.tif,156.7865,156.7864,5.8037,5.6877,5.5962,6.2552,6.1450,6.0967,6.0061,5.9397,5.8037,5.6877,5.5962,6.2552,6.1450,6.0967,6.0061,5.9397
181,D:/These Thien/20220111 test_compare_vba_python/70\Test-0181_0.tif,D:/These Thien/20220111 test_compare_vba_python/70\Test-0181_1.tif,156.8133,156.8143,6.3023,6.2046,6.1847,6.6938,6.6049,6.5756,6.5047,6.4570,6.3023,6.2046,6.1847,6.6938,6.6049,6.5756,6.5047,6.4570
182,D:/These Thien/20220111 test_compare_vba_python/70\Test-0182_0.tif,D:/These Thien/20220111 test_compare_vba_python/70\Test-0182_1.tif,156.8413,156.8413,6.7386,6.6520,6.6110,6.9536,6.8891,6.8817,6.8324,6.8050,6.7386,6.6520,6.6110,6.9536,6.8891,6.8817,6.8324,6.8050
183,D:/These Thien/20220111 test_compare_vba_python/70\Test-0183_0.tif,D:/These Thien/20220111 test_compare_vba_python/70\Test-0183_1.tif,156.8682,156.8682,6.9797,6.9333,6.8727,7.0754,7.0396,7.0471,7.0119,6.9994,6.9797,6.9333,6.8727,7.0754,7.0396,7.0471,7.0119,6.9994
184,D:/These Thien/20220111 test_compare_vba_python/70\Test-0184_0.tif,D:/These Thien/20220111 test_compare_vba_python/70\Test-0184_1.tif,156.8951,156.8952,7.0045,6.9797,6.9968,7.0393,7.0065,7.0342,7.0216,7.0309,7.0045,6.9797,6.9968,7.0393,7.0065,7.0342,7.0216,7.0309
185,D:/These Thien/20220111 test_compare_vba_python/70\Test-0185_0.tif,D:/These Thien/20220111 test_compare_vba_python/70\Test-0185_1.tif,156.9220,156.9222,7.0135,6.9916,6.9668,6.9230,6.9075,6.9481,6.9462,6.9665,7.0135,6.9916,6.9668,6.9230,6.9075,6.9481,6.9462,6.9665
186,D:/These Thien/20220111 test_compare_vba_python/70\Test-0186_0.tif,D:/These Thien/20220111 test_compare_vba_python/70\Test-0186_1.tif,156.9490,156.9489,6.8057,6.8363,6.8092,6.4911,6.5095,6.5920,6.6281,6.6874,6.8057,6.8363,6.8092,6.4911,6.5095,6.5920,6.6281,6.6874
187,D:/These Thien/20220111 test_compare_vba_python/70\Test-0187_0.tif,D:/These Thien/20220111 test_compare_vba_python/70\Test-0187_1.tif,156.9760,156.9759,6.2826,6.3481,6.3967,5.8298,5.8833,5.9939,6.0574,6.1463,6.2826,6.3481,6.3967,5.8298,5.8833,5.9939,6.0574,6.1463
188,D:/These Thien/20220111 test_compare_vba_python/70\Test-0188_0.tif,D:/These Thien/20220111 test_compare_vba_python/70\Test-0188_1.tif,157.0028,157.0029,5.6387,5.7309,5.7383,4.9752,5.0483,5.1892,5.2775,5.3935,5.6387,5.7309,5.7383,4.9752,5.0483,5.1892,5.2775,5.3935
189,D:/These Thien/20220111 test_compare_vba_python/70\Test-0189_0.tif,D:/These Thien/20220111 test_compare_vba_python/70\Test-0189_1.tif,157.0298,157.0297,4.6039,4.7473,4.8012,3.8266,3.9268,4.0954,4.2085,4.3522,4.6039,4.7473,4.8012,3.8266,3.9268,4.0954,4.2085,4.3522
190,D:/These Thien/20220111 test_compare_vba_python/70\Test-0190_0.tif,D:/These Thien/20220111 test_compare_vba_python/70\Test-0190_1.tif,157.0567,157.0567,3.6371,3.7989,3.8817,2.7535,2.8582,3.0438,3.1740,3.3419,3.6371,3.7989,3.8817,2.7535,2.8582,3.0438,3.1740,3.3419
191,D:/These Thien/20220111 test_compare_vba_python/70\Test-0191_0.tif,D:/These Thien/20220111 test_compare_vba_python/70\Test-0191_1.tif,157.0836,157.0845,2.5134,2.6913,2.7083,1.5263,1.6445,1.8395,1.9742,2.1505,2.5134,2.6913,2.7083,1.5263,1.6445,1.8395,1.9742,2.1505
192,D:/These Thien/20220111 test_compare_vba_python/70\Test-0192_0.tif,D:/These Thien/20220111 test_compare_vba_python/70\Test-0192_1.tif,157.1115,157.1116,1.2468,1.4476,1.5143,0.2720,0.3877,0.5914,0.7341,0.9230,1.2468,1.4476,1.5143,0.2720,0.3877,0.5914,0.7341,0.9230
193,D:/These Thien/20220111 test_compare_vba_python/70\Test-0193_0.tif,D:/These Thien/20220111 test_compare_vba_python/70\Test-0193_1.tif,157.1387,157.1384,0.0564,0.2294,0.3016,-0.5524,-0.5446,-0.4267,-0.3490,-0.2079,0.0564,0.2294,0.3016,-0.5524,-0.5446,-0.4267,-0.3490,-0.2079
194,D:/These Thien/20220111 test_compare_vba_python/70\Test-0194_0.tif,D:/These Thien/20220111 test_compare_vba_python/70\Test-0194_1.tif,157.1653,157.1655,-0.6758,-0.5572,-0.5695,-1.1454,-1.1428,-1.0451,-0.9949,-0.8875,-0.6758,-0.5572,-0.5695,-1.1454,-1.1428,-1.0451,-0.9949,-0.8875
195,D:/These Thien/20220111 test_compare_vba_python/70\Test-0195_0.tif,D:/These Thien/20220111 test_compare_vba_python/70\Test-0195_1.tif,157.1923,157.1924,-1.6997,-1.4857,-1.4054,-3.0593,-2.8666,-2.5836,-2.3680,-2.1099,-1.6997,-1.4857,-1.4054,-3.0593,-2.8666,-2.5836,-2.3680,-2.1099
196,D:/These Thien/20220111 test_compare_vba_python/70\Test-0196_0.tif,D:/These Thien/20220111 test_compare_vba_python/70\Test-0196_1.tif,157.2193,157.2192,-3.2465,-3.0142,-2.9388,-4.1998,-4.1202,-3.9365,-3.8054,-3.6149,-3.2465,-3.0142,-2.9388,-4.1998,-4.1202,-3.9365,-3.8054,-3.6149
197,D:/These Thien/20220111 test_compare_vba_python/70\Test-0197_0.tif,D:/These Thien/20220111 test_compare_vba_python/70\Test-0197_1.tif,157.2462,157.2461,-4.3249,-4.1512,-4.1402,-5.0313,-4.9926,-4.8402,-4.7438,-4.5985,-4.3249,-4.1512,-4.1402,-5.0313,-4.9926,-4.8402,-4.7438,-4.5985
198,D:/These Thien/20220111 test_compare_vba_python/70\Test-0198_0.tif,D:/These Thien/20220111 test_compare_vba_python/70\Test-0198_1.tif,157.2731,157.2732,-5.0915,-4.9488,-4.9066,-5.6297,-5.5856,-5.4638,-5.3932,-5.2733,-5.0915,-4.9488,-4.9066,-5.6297,-5.5856,-5.4638,-5.3932,-5.2733
199,D:/These Thien/20220111 test_compare_vba_python/70\Test-0199_0.tif,D:/These Thien/20220111 test_compare_vba_python/70\Test-0199_1.tif,157.3000,157.3001,-5.7554,-5.6591,-5.6565,-6.2356,-6.2008,-6.0951,-6.0374,-5.9365,-5.7554,-5.6591,-5.6565,-6.2356,-6.2008,-6.0951,-6.0374,-5.9365
200,D:/These Thien/20220111 test_compare_vba_python/70\Test-0200_0.tif,D:/These Thien/20220111 test_compare_vba_python/70\Test-0200_1.tif,157.3271,157.3272,-6.2595,-6.1715,-6.1741,-6.5866,-6.5795,-6.4989,-6.4618,-6.3832,-6.2595,-6.1715,-6.1741,-6.5866,-6.5795,-6.4989,-6.4618,-6.3832
201,D:/These Thien/20220111 test_compare_vba_python/70\Test-0201_0.tif,D:/These Thien/20220111 test_compare_vba_python/70\Test-0201_1.tif,157.3541,157.3543,-6.5988,-6.5537,-6.5173,-6.7587,-6.7648,-6.7064,-6.6916,-6.6384,-6.5988,-6.5537,-6.5173,-6.7587,-6.7648,-6.7064,-6.6916,-6.6384
202,D:/These Thien/20220111 test_compare_vba_python/70\Test-0202_0.tif,D:/These Thien/20220111 test_compare_vba_python/70\Test-0202_1.tif,157.3820,157.3822,-6.6874,-6.6704,-6.7032,-6.7906,-6.8192,-6.7796,-6.7822,-6.7458,-6.6874,-6.6704,-6.7032,-6.7906,-6.8192,-6.7796,-6.7822,-6.7458
203,D:/These Thien/20220111 test_compare_vba_python/70\Test-0203_0.tif,D:/These Thien/20220111 test_compare_vba_python/70\Test-0203_1.tif,157.4357,157.4359,-6.6359,-6.6639,-6.6552,-6.3996,-6.4828,-6.4931,-6.5431,-6.5518,-6.6359,-6.6639,-6.6552,-6.3996,-6.4828,-6.4931,-6.5431,-6.5518
204,D:/These Thien/20220111 test_compare_vba_python/70\Test-0204_0.tif,D:/These Thien/20220111 test_compare_vba_python/70\Test-0204_1.tif,157.4627,157.4626,-6.2130,-6.2823,-6.3571,-5.8254,-5.9498,-5.9949,-6.0774,-6.1170,-6.2130,-6.2823,-6.3571,-5.8254,-5.9498,-5.9949,-6.0774,-6.1170
205,D:/These Thien/20220111 test_compare_vba_python/70\Test-0205_0.tif,D:/These Thien/20220111 test_compare_vba_python/70\Test-0205_1.tif,157.4896,157.4895,-5.6471,-5.7412,-5.8009,-5.0358,-5.1844,-5.2569,-5.3719,-5.4409,-5.6471,-5.7412,-5.8009,-5.0358,-5.1844,-5.2569,-5.3719,-5.4409
206,D:/These Thien/20220111 test_compare_vba_python/70\Test-0206_0.tif,D:/These Thien/20220111 test_compare_vba_python/70\Test-0206_1.tif,157.5165,157.5164,-4.8466,-4.9871,-5.0297,-4.0890,-4.2685,-4.3577,-4.4921,-4.5820,-4.8466,-4.9871,-5.0297,-4.0890,-4.2685,-4.3577,-4.4921,-4.5820
207,D:/These Thien/20220111 test_compare_vba_python/70\Test-0207_0.tif,D:/These Thien/20220111 test_compare_vba_python/70\Test-0207_1.tif,157.5434,157.5435,-3.8089,-3.9749,-4.0977,-2.9697,-3.1631,-3.2759,-3.4354,-3.5475,-3.8089,-3.9749,-4.0977,-2.9697,-3.1631,-3.2759,-3.4354,-3.5475
208,D:/These Thien/20220111 test_compare_vba_python/70\Test-0208_0.tif,D:/These Thien/20220111 test_compare_vba_python/70\Test-0208_1.tif,157.5703,157.5704,-2.7270,-2.9024,-2.9881,-1.7628,-1.9646,-2.0880,-2.2591,-2.3842,-2.7270,-2.9024,-2.9881,-1.7628,-1.9646,-2.0880,-2.2591,-2.3842
209,D:/These Thien/20220111 test_compare_vba_python/70\Test-0209_0.tif,D:/These Thien/20220111 test_compare_vba_python/70\Test-0209_1.tif,157.5973,157.5972,-1.5308,-1.7290,-1.8041,-0.5608,-0.7715,-0.8933,-1.0638,-1.1911,-1.5308,-1.7290,-1.8041,-0.5608,-0.7715,-0.8933,-1.0638,-1.1911
